IdConta,Classe
2,1.0
4,2.0
5,1.0
6,1.0
7,2.0
8,2.0
12,1.0
13,2.0
14,1.0
16,1.0
23,1.0
24,2.0
25,2.0
26,2.0
29,1.0
31,1.0
35,1.0
38,1.0
41,1.0
43,1.0
44,2.0
45,1.0
47,1.0
49,2.0
50,2.0
53,1.0
57,1.0
60,1.0
62,2.0
72,2.0
73,1.0
79,1.0
80,2.0
84,2.0
85,1.0
87,1.0
89,1.0
91,1.0
94,2.0
95,1.0
97,1.0
98,1.0
102,1.0
106,1.0
109,1.0
110,2.0
113,1.0
114,1.0
117,2.0
119,1.0
125,2.0
127,1.0
128,2.0
132,1.0
134,2.0
135,2.0
138,1.0
139,2.0
141,1.0
143,1.0
144,1.0
145,1.0
146,1.0
155,1.0
158,1.0
160,1.0
161,1.0
162,1.0
163,1.0
166,2.0
168,1.0
170,1.0
173,2.0
178,1.0
180,1.0
183,1.0
185,1.0
187,2.0
188,1.0
190,2.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
201,2.0
204,2.0
205,1.0
206,1.0
211,1.0
217,2.0
223,1.0
226,1.0
227,2.0
228,2.0
232,1.0
234,2.0
245,2.0
250,2.0
253,2.0
254,1.0
256,1.0
258,1.0
260,1.0
265,1.0
266,1.0
268,1.0
270,1.0
271,2.0
273,1.0
276,1.0
281,1.0
283,2.0
287,2.0
290,2.0
292,1.0
294,2.0
296,1.0
298,1.0
299,1.0
300,1.0
304,1.0
305,2.0
306,1.0
307,1.0
309,1.0
312,1.0
325,2.0
330,1.0
332,1.0
334,1.0
337,1.0
339,1.0
340,2.0
347,1.0
348,1.0
352,1.0
353,2.0
355,1.0
359,2.0
361,1.0
363,2.0
365,2.0
368,2.0
374,2.0
377,2.0
381,1.0
382,1.0
388,1.0
392,1.0
394,1.0
399,1.0
406,2.0
407,1.0
408,1.0
415,1.0
418,1.0
420,1.0
424,2.0
426,1.0
428,1.0
430,1.0
431,2.0
434,1.0
435,2.0
437,1.0
438,1.0
439,1.0
443,1.0
447,1.0
448,1.0
449,1.0
450,2.0
451,2.0
455,1.0
459,1.0
461,1.0
462,1.0
463,2.0
464,1.0
467,1.0
469,1.0
470,1.0
483,1.0
484,2.0
485,1.0
487,2.0
488,1.0
490,1.0
493,2.0
498,1.0
501,1.0
503,1.0
504,2.0
506,1.0
507,1.0
509,1.0
512,1.0
515,1.0
516,2.0
517,1.0
520,1.0
528,2.0
529,1.0
531,2.0
532,2.0
533,1.0
534,1.0
537,1.0
540,1.0
541,1.0
542,2.0
544,1.0
545,1.0
551,1.0
553,1.0
554,2.0
557,1.0
559,1.0
562,1.0
563,1.0
565,2.0
568,2.0
569,1.0
571,1.0
573,2.0
575,1.0
576,1.0
579,1.0
585,1.0
587,1.0
589,1.0
595,2.0
596,2.0
598,2.0
602,1.0
603,1.0
604,1.0
608,1.0
609,1.0
610,1.0
612,2.0
613,1.0
617,2.0
618,1.0
619,1.0
622,1.0
627,2.0
631,1.0
634,1.0
635,2.0
637,1.0
638,2.0
640,2.0
641,2.0
643,1.0
644,1.0
645,1.0
647,1.0
651,1.0
657,2.0
661,1.0
663,2.0
664,1.0
670,1.0
671,2.0
674,1.0
676,2.0
678,1.0
679,1.0
686,1.0
687,2.0
688,1.0
692,1.0
693,1.0
699,1.0
701,2.0
702,2.0
703,1.0
708,1.0
710,1.0
711,1.0
713,1.0
718,2.0
719,1.0
720,1.0
723,1.0
726,1.0
727,1.0
731,1.0
733,1.0
734,1.0
735,2.0
737,2.0
738,1.0
740,1.0
742,1.0
744,1.0
745,2.0
749,2.0
750,1.0
755,1.0
756,1.0
758,1.0
762,1.0
764,1.0
770,2.0
775,2.0
776,2.0
784,1.0
793,1.0
794,1.0
795,1.0
798,1.0
800,1.0
801,1.0
802,1.0
804,1.0
805,1.0
808,2.0
809,2.0
813,2.0
815,2.0
817,1.0
818,1.0
822,2.0
825,1.0
827,1.0
830,1.0
832,1.0
833,1.0
834,2.0
836,1.0
837,2.0
838,1.0
846,1.0
850,2.0
852,1.0
853,1.0
854,1.0
855,1.0
856,2.0
860,1.0
861,2.0
868,2.0
869,1.0
874,2.0
879,2.0
881,1.0
884,1.0
885,1.0
888,1.0
890,1.0
892,2.0
896,2.0
897,1.0
898,1.0
901,2.0
902,1.0
903,1.0
904,2.0
907,2.0
909,1.0
917,1.0
920,1.0
921,1.0
926,1.0
928,2.0
929,1.0
930,2.0
932,1.0
933,1.0
935,2.0
937,1.0
940,2.0
943,2.0
944,1.0
946,1.0
949,1.0
950,2.0
951,1.0
956,2.0
960,2.0
963,1.0
966,1.0
972,1.0
976,2.0
977,1.0
980,1.0
981,1.0
982,1.0
984,2.0
985,1.0
986,1.0
988,1.0
991,1.0
993,2.0
994,1.0
997,2.0
1000,1.0
1001,2.0
1002,2.0
1004,2.0
1005,1.0
1006,2.0
1009,2.0
1010,1.0
1013,1.0
1014,1.0
1015,2.0
1019,1.0
1020,1.0
1021,1.0
1023,1.0
1024,1.0
1026,1.0
1028,2.0
1033,1.0
1038,1.0
1039,1.0
1043,1.0
1044,1.0
1045,1.0
1053,2.0
1054,1.0
1056,1.0
1059,1.0
1060,2.0
1063,2.0
1066,2.0
1073,1.0
1075,1.0
1076,2.0
1077,2.0
1080,1.0
1086,2.0
1087,1.0
1089,1.0
1091,2.0
1095,1.0
1096,1.0
1097,1.0
1100,1.0
1101,1.0
1103,1.0
1105,1.0
1106,1.0
1107,1.0
1108,2.0
1111,1.0
1113,1.0
1115,2.0
1116,1.0
1117,2.0
1118,2.0
1120,1.0
1121,1.0
1123,1.0
1124,2.0
1126,1.0
1127,1.0
1129,1.0
1141,1.0
1142,2.0
1148,1.0
1149,1.0
1151,1.0
1153,1.0
1155,1.0
1157,2.0
1161,1.0
1162,2.0
1163,2.0
1170,1.0
1171,1.0
1175,1.0
1176,1.0
1180,1.0
1182,1.0
1183,1.0
1184,1.0
1185,1.0
1187,1.0
1189,2.0
1192,2.0
1194,1.0
1196,1.0
1198,1.0
1202,1.0
1203,1.0
1205,2.0
1207,1.0
1209,2.0
1210,2.0
1214,2.0
1215,2.0
1217,1.0
1219,1.0
1220,1.0
1224,1.0
1225,1.0
1226,1.0
1228,1.0
1231,1.0
1232,2.0
1235,1.0
1238,1.0
1239,1.0
1242,1.0
1244,1.0
1248,1.0
1249,1.0
1251,1.0
1252,1.0
1256,1.0
1257,2.0
1258,1.0
1264,2.0
1266,1.0
1267,1.0
1268,1.0
1270,2.0
1272,2.0
1274,1.0
1275,1.0
1279,1.0
1281,1.0
1286,1.0
1287,1.0
1289,2.0
1291,1.0
1292,1.0
1293,1.0
1297,2.0
1298,2.0
1307,1.0
1309,2.0
1310,1.0
1316,1.0
1318,1.0
1320,1.0
1322,1.0
1324,2.0
1325,2.0
1326,1.0
1331,2.0
1332,1.0
1333,1.0
1335,2.0
1337,1.0
1340,1.0
1342,2.0
1347,2.0
1349,2.0
1352,2.0
1358,1.0
1360,1.0
1361,1.0
1364,2.0
1366,2.0
1375,1.0
1379,1.0
1386,2.0
1392,2.0
1396,1.0
1399,1.0
1404,2.0
1406,1.0
1408,1.0
1413,2.0
1415,1.0
1416,2.0
1417,1.0
1420,1.0
1423,1.0
1424,2.0
1425,1.0
1427,1.0
1430,2.0
1431,1.0
1433,1.0
1435,2.0
1436,2.0
1438,1.0
1440,1.0
1443,1.0
1448,2.0
1454,2.0
1455,1.0
1456,2.0
1458,1.0
1459,1.0
1460,1.0
1462,2.0
1463,1.0
1464,1.0
1467,2.0
1468,1.0
1471,1.0
1472,1.0
1473,1.0
1474,1.0
1480,1.0
1482,1.0
1484,2.0
1485,2.0
1486,1.0
1487,2.0
1489,1.0
1492,2.0
1493,1.0
1494,1.0
1496,1.0
1503,2.0
1508,2.0
1511,1.0
1512,2.0
1515,1.0
1516,1.0
1517,1.0
1518,1.0
1519,1.0
1520,2.0
1521,2.0
1524,1.0
1528,2.0
1530,2.0
1533,2.0
1536,2.0
1538,2.0
1539,1.0
1542,2.0
1546,1.0
1548,1.0
1549,1.0
1550,1.0
1551,1.0
1555,2.0
1557,1.0
1559,1.0
1560,1.0
1562,1.0
1563,1.0
1566,1.0
1572,1.0
1574,1.0
1576,1.0
1578,2.0
1581,1.0
1582,1.0
1585,2.0
1586,2.0
1587,1.0
1594,1.0
1599,2.0
1605,1.0
1606,1.0
1607,1.0
1608,1.0
1609,1.0
1612,1.0
